#Classification	S-26-POLJUN-B_bracken_O.kreport
k__Bacteria|p__Ignavibacteriae|c__Ignavibacteria	3
k__Bacteria|p__Ignavibacteriae|c__Ignavibacteria|o__Ignavibacteriales	3
k__Bacteria|p__Gemmatimonadetes	208
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes	208
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales	208
k__Bacteria|p__Planctomycetes	12166
k__Bacteria|p__Planctomycetes|c__Planctomycetia	11905
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Isosphaerales	5754
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Gemmatales	3377
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales	2473
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Pirellulales	301
k__Bacteria|p__Planctomycetes|c__Phycisphaerae	257
k__Bacteria|p__Planctomycetes|c__Phycisphaerae|o__Tepidisphaerales	158
k__Bacteria|p__Planctomycetes|c__Phycisphaerae|o__Phycisphaerales	97
k__Bacteria|p__Planctomycetes|c__Phycisphaerae|o__Sedimentisphaerales	2
k__Bacteria|p__Planctomycetes|c__Candidatus_Uabimicrobiia	2
k__Bacteria|p__Planctomycetes|c__Candidatus_Uabimicrobiia|o__Candidatus_Uabimicrobiales	2
k__Bacteria|p__Planctomycetes|c__Candidatus_Brocadiia	1
k__Bacteria|p__Planctomycetes|c__Candidatus_Brocadiia|o__Candidatus_Brocadiales	1
k__Bacteria|p__Verrucomicrobia	2341
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	1172
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	1172
k__Bacteria|p__Verrucomicrobia|c__Opitutae	1164
k__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Opitutales	678
k__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Puniceicoccales	485
k__Bacteria|p__Verrucomicrobia|c__Methylacidiphilae	5
k__Bacteria|p__Verrucomicrobia|c__Methylacidiphilae|o__Methylacidiphilales	5
k__Bacteria|p__Kiritimatiellaeota	656
k__Bacteria|p__Kiritimatiellaeota|c__Kiritimatiellae	653
k__Bacteria|p__Kiritimatiellaeota|c__Kiritimatiellae|o__Kiritimatiellales	653
k__Bacteria|p__Kiritimatiellaeota|c__Tichowtungiia	3
k__Bacteria|p__Kiritimatiellaeota|c__Tichowtungiia|o__Tichowtungiales	3
k__Bacteria|p__Chlamydiae	94
k__Bacteria|p__Chlamydiae|c__Chlamydiia	94
k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Parachlamydiales	76
k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Chlamydiales	18
k__Bacteria|p__Spirochaetes	215
k__Bacteria|p__Spirochaetes|c__Spirochaetia	215
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	124
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Leptospirales	81
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Brachyspirales	10
k__Bacteria|p__Fusobacteria	184
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	184
