Dataset Database Index .y. group1 group2 n1 n2 statistic p p.signif
Bee KB90_GTDB Simpson Index_value A B 19 18 105 0.0464 *
Bee KB90_GTDB Tail Index_value A B 19 18 110.5 0.0681 ns
Bee SM_RefSeq_20250528 Hill_1 Index_value A B 20 20 191 0.82 ns
Bee SM_RefSeq_20250528 Hill_2 Index_value A B 20 20 183 0.659 ns
Bee SM_RefSeq_20250528 Richness Index_value A B 20 20 236 0.326 ns
Bee SM_RefSeq_20250528 Shannon Index_value A B 20 20 191 0.82 ns
Bee SM_RefSeq_20250528 Simpson Index_value A B 20 20 183 0.659 ns
Bee SM_RefSeq_20250528 Tail Index_value A B 20 20 175 0.512 ns
Bee SM_genbank-2022.03 Hill_1 Index_value A B 19 20 190 1 ns
Bee SM_genbank-2022.03 Hill_2 Index_value A B 19 20 206 0.667 ns
Bee SM_genbank-2022.03 Richness Index_value A B 19 20 216.5 0.464 ns
Bee SM_genbank-2022.03 Shannon Index_value A B 19 20 190 1 ns
Bee SM_genbank-2022.03 Simpson Index_value A B 19 20 206 0.667 ns
Bee SM_genbank-2022.03 Tail Index_value A B 19 20 195 0.901 ns
Bee SM_gtdb-rs214-full Hill_1 Index_value A B 20 20 219 0.62 ns
Bee SM_gtdb-rs214-full Hill_2 Index_value A B 20 20 236 0.341 ns
Bee SM_gtdb-rs214-full Richness Index_value A B 20 20 219.5 0.605 ns
Bee SM_gtdb-rs214-full Shannon Index_value A B 20 20 219 0.62 ns
Bee SM_gtdb-rs214-full Simpson Index_value A B 20 20 236 0.341 ns
Bee SM_gtdb-rs214-full Tail Index_value A B 20 20 196 0.925 ns
Bee SM_gtdb-rs214-rep Hill_1 Index_value A B 19 20 214 0.513 ns
Bee SM_gtdb-rs214-rep Hill_2 Index_value A B 19 20 225 0.336 ns
Bee SM_gtdb-rs214-rep Richness Index_value A B 19 20 219.5 0.413 ns
Bee SM_gtdb-rs214-rep Shannon Index_value A B 19 20 214 0.513 ns
Bee SM_gtdb-rs214-rep Simpson Index_value A B 19 20 225 0.336 ns
Bee SM_gtdb-rs214-rep Tail Index_value A B 19 20 203 0.728 ns
Bee SM_gtdb-rs220-rep Hill_1 Index_value A B 20 20 201 0.989 ns
Bee SM_gtdb-rs220-rep Hill_2 Index_value A B 20 20 208 0.841 ns
Bee SM_gtdb-rs220-rep Richness Index_value A B 20 20 230 0.423 ns
Bee SM_gtdb-rs220-rep Shannon Index_value A B 20 20 201 0.989 ns
Bee SM_gtdb-rs220-rep Simpson Index_value A B 20 20 208 0.841 ns
Bee SM_gtdb-rs220-rep Tail Index_value A B 20 20 194 0.883 ns
Moss KB10 Hill_1 Index_value A B 67 64 3472 9.82e-10 ****
Moss KB10 Hill_2 Index_value A B 67 64 2949 2.12e-4 ***
Moss KB10 Richness Index_value A B 67 64 4053.5 1.5e-18 ****
Moss KB10 Shannon Index_value A B 67 64 3472 9.82e-10 ****
Moss KB10 Simpson Index_value A B 67 64 2949 2.12e-4 ***
Moss KB10 Tail Index_value A B 67 64 3953 8.28e-17 ****
Moss KB10_GTDB Hill_1 Index_value A B 67 64 3303 9.59e-8 ****
Moss KB10_GTDB Hill_2 Index_value A B 67 64 2619 0.0289 *
Moss KB10_GTDB Richness Index_value A B 67 64 4090 3.31e-19 ****
Moss KB10_GTDB Shannon Index_value A B 67 64 3303 9.59e-8 ****
Moss KB10_GTDB Simpson Index_value A B 67 64 2619 0.0289 *
Moss KB10_GTDB Tail Index_value A B 67 64 4034 3.32e-18 ****
Moss KB45 Hill_1 Index_value A B 67 64 3295 1.17e-7 ****
Moss KB45 Hill_2 Index_value A B 67 64 3079 1.69e-5 ****
