Taxon	coef	adj.p	taxRank	dataset	database	DAA_tool
Mucilaginibacter daejeonensis	-0.00343329096980075	0.0257001585965114	Species	Moss	KB20	MaAsLin2
Paraburkholderia atlantica	-0.00219339483830206	0.0258837921626935	Species	Moss	KB20	MaAsLin2
Kinneretia sp. Daif2	-0.00224938379457275	0.026777280173152	Species	Moss	KB20	MaAsLin2
Aquihabitans sp. G128	-0.00438915610010996	0.0269052081806717	Species	Moss	KB20	MaAsLin2
Methylobacterium sp. Wl1	0.0184035733145588	0.0270085581177907	Species	Moss	KB20	MaAsLin2
Nocardioides anomalus	-0.0031516251503553	0.0274007440247249	Species	Moss	KB20	MaAsLin2
Fischerella sp. Nies.3754	-0.00298512399025675	0.0289815257706704	Species	Moss	KB20	MaAsLin2
Bradyrhizobium sp.	-0.0080751562893001	0.0306153044785327	Species	Moss	KB20	MaAsLin2
Dactylosporangium vinaceum	-0.00630260913195038	0.0306153044785327	Species	Moss	KB20	MaAsLin2
Ereboglobus luteus	-0.00147990350507002	0.0306153044785327	Species	Moss	KB20	MaAsLin2
Mycolicibacterium vanbaalenii	-0.00953996017652238	0.0330679794310541	Species	Moss	KB20	MaAsLin2
Actinomarinicola tropica	-0.00265024658229684	0.0336073096410211	Species	Moss	KB20	MaAsLin2
Mesorhizobium opportunistum	-0.00176632985314161	0.0336430566945047	Species	Moss	KB20	MaAsLin2
Mycobacterium avium	-0.00675673157642752	0.0336430566945047	Species	Moss	KB20	MaAsLin2
Xanthomonas hyacinthi	0.0138336233138159	0.0352923456357903	Species	Moss	KB20	MaAsLin2
Variovorax paradoxus	-0.0226099676090343	0.0377264218083203	Species	Moss	KB20	MaAsLin2
Bradyrhizobium guangdongense	-0.00220531685376564	0.0389817460136209	Species	Moss	KB20	MaAsLin2
Calothrix sp. Pcc.6303	-0.00200922798037804	0.0389817460136209	Species	Moss	KB20	MaAsLin2
Pseudonocardia dioxanivorans	-0.00698452611019891	0.0391355868046818	Species	Moss	KB20	MaAsLin2
Lichenihabitans sp. Pamc28606	-0.00784048263539005	0.0393275300248824	Species	Moss	KB20	MaAsLin2
Beijerinckia indica	-0.00179147862980622	0.0401582358877553	Species	Moss	KB20	MaAsLin2
Mycolicibacterium fallax	-0.00373390979594974	0.0401582358877553	Species	Moss	KB20	MaAsLin2
Kribbella qitaiheensis	-0.00216086836216427	0.0418383158592644	Species	Moss	KB20	MaAsLin2
Novosphingobium sp. Sx8.5	-0.00123256988841194	0.0418383158592644	Species	Moss	KB20	MaAsLin2
Roseomonas sp. Ot10	-0.0062299739452605	0.0418383158592644	Species	Moss	KB20	MaAsLin2
Kitasatospora sp. Mms16.Bh015	-0.00550352853413176	0.0425198086402879	Species	Moss	KB20	MaAsLin2
Terriglobus roseus	0.0094028309689863	0.0429524462894058	Species	Moss	KB20	MaAsLin2
Allocoleopsis franciscana	-0.00813757265882533	0.0452495995125747	Species	Moss	KB20	MaAsLin2
Ideonella dechloratans	-0.00711978229804588	0.0471229783455979	Species	Moss	KB20	MaAsLin2
Methylobacterium currus	-0.0030578803865381	0.0483339429296039	Species	Moss	KB20	MaAsLin2
Burkholderia ubonensis	-0.00203805179527844	0.0491285607087051	Species	Moss	KB20	MaAsLin2
Massilia putida	-0.00513100623550106	0.0491285607087051	Species	Moss	KB20	MaAsLin2
Caulobacter mirabilis	-0.00251278550807362	0.0528823647937318	Species	Moss	KB20	MaAsLin2
Rhodanobacter glycinis	0.00243810519612847	0.0551726959345852	Species	Moss	KB20	MaAsLin2
Mesorhizobium japonicum	-0.00680592364580991	0.0552219181029392	Species	Moss	KB20	MaAsLin2
Legionella antarctica	-0.00175443983823996	0.055274401376344	Species	Moss	KB20	MaAsLin2
Mesorhizobium huakuii	-0.00348547673275224	0.0561773121891809	Species	Moss	KB20	MaAsLin2
Archangium violaceum	-0.00217000477606585	0.0572903390863356	Species	Moss	KB20	MaAsLin2
Mycolicibacterium madagascariense	-0.037688475946714	0.0572903390863356	Species	Moss	KB20	MaAsLin2
Spirosoma aureum	-0.00112501022713222	0.0572903390863356	Species	Moss	KB20	MaAsLin2
Rhizorhabdus wittichii	-0.00815550422551376	0.0589318305520931	Species	Moss	KB20	MaAsLin2
Mycobacterium heidelbergense	-0.00220046332101322	0.0590317998154156	Species	Moss	KB20	MaAsLin2
Proteus mirabilis	-0.01556737644142	0.0604553629056735	Species	Moss	KB20	MaAsLin2
Anabaena cylindrica	-0.00250016769049828	0.0608087686667707	Species	Moss	KB20	MaAsLin2
Friedmanniella luteola	-0.00214134033039797	0.0612026672603146	Species	Moss	KB20	MaAsLin2
Leifsonia shinshuensis	-0.00165519985804316	0.0630339645798469	Species	Moss	KB20	MaAsLin2
Paraburkholderia sp. ntiae	-0.00223706973923283	0.0634277827983172	Species	Moss	KB20	MaAsLin2
Nocardioides cynanchi	-0.00259252180414597	0.0634612789025622	Species	Moss	KB20	MaAsLin2
Cupriavidus pauculus	-0.00729152310040609	0.0653564339886411	Species	Moss	KB20	MaAsLin2
Roseomonas marmotae	-0.00193645948414492	0.0653622074300141	Species	Moss	KB20	MaAsLin2
Mesorhizobium erdmanii	-0.00150708912762621	0.0702985787826851	Species	Moss	KB20	MaAsLin2
Calothrix sp. Nies.2098	-0.00196392266485527	0.0704034435087619	Species	Moss	KB20	MaAsLin2
Pseudolabrys sp. Fhr47	-0.00131817360376141	0.0725461776476685	Species	Moss	KB20	MaAsLin2
Burkholderia sp. Pamc.26561	-0.0230306766484468	0.0728522029860001	Species	Moss	KB20	MaAsLin2
Mesorhizobium sp. B2.8.5	-0.00139308478331557	0.0729222339191688	Species	Moss	KB20	MaAsLin2
Xanthomonas arboricola	-0.00220540322683383	0.0729222339191688	Species	Moss	KB20	MaAsLin2
Bradyrhizobium elkanii	-0.00961685082672205	0.0737268317304253	Species	Moss	KB20	MaAsLin2
Streptomyces sp. Cb01881	-0.00265644042928898	0.0742064875374543	Species	Moss	KB20	MaAsLin2
Bradyrhizobium sp. S2.11.4	-0.00142113593059384	0.0753731790610363	Species	Moss	KB20	MaAsLin2
Aureimonas altamirensis	0.00195728634383912	0.0762174320080611	Species	Moss	KB20	MaAsLin2
Mycoavidus sp. Hki	-0.00885101258679853	0.0769056905406664	Species	Moss	KB20	MaAsLin2
Mitsuaria sp. 7	-0.00651005889815421	0.0774102591254957	Species	Moss	KB20	MaAsLin2
Mesorhizobium sp. 113.3.3	-0.00242534069306801	0.0787581573527177	Species	Moss	KB20	MaAsLin2
Mycobacterium florentinum	-0.00139459528589208	0.078859515245451	Species	Moss	KB20	MaAsLin2
Sphingomonas sp. Ak.pdb1.5	0.00387410350725395	0.0811864155112331	Species	Moss	KB20	MaAsLin2
Burkholderia cenocepacia	-0.00544925857192705	0.0815328032827228	Species	Moss	KB20	MaAsLin2
Streptomyces sp. Zyc.3	-0.0021314486837949	0.0818161068707741	Species	Moss	KB20	MaAsLin2
Luteibacter pinisoli	-0.00435062475676134	0.0822302658172947	Species	Moss	KB20	MaAsLin2
Microcystis aeruginosa	-0.00210255529084613	0.0822302658172947	Species	Moss	KB20	MaAsLin2
Rahnella aquatilis	-0.00706731127296057	0.0836606079612179	Species	Moss	KB20	MaAsLin2
Burkholderia pyrrocinia	-0.00242740044625588	0.0838973697797198	Species	Moss	KB20	MaAsLin2
Streptacidiphilus sp. Pb12.B1b	-0.0585250154394648	0.0846301834802802	Species	Moss	KB20	MaAsLin2
Mycobacterium gordonae	-0.0013402179039328	0.0857987615854564	Species	Moss	KB20	MaAsLin2
Mycolicibacterium austroafricanum	-0.00642240459715128	0.085826941966344	Species	Moss	KB20	MaAsLin2
Streptomyces sp. Mbt27	-0.018505103428814	0.085826941966344	Species	Moss	KB20	MaAsLin2
Aminobacter sp. Sr38	0.0203517239628621	0.086153659412424	Species	Moss	KB20	MaAsLin2
Polaromonas sp. Js666	0.00130731176957222	0.0861933387473593	Species	Moss	KB20	MaAsLin2
Nocardioides sp. G188	-0.00228972241390715	0.0883237323136207	Species	Moss	KB20	MaAsLin2
Paraburkholderia caribensis	-0.0026003318562116	0.0900884310594721	Species	Moss	KB20	MaAsLin2
Tardiphaga sp. vice154	-0.0059508105840453	0.0900884310594721	Species	Moss	KB20	MaAsLin2
Mycobacterium sp. Yc.rl4	-0.00342135787342303	0.0911565219546501	Species	Moss	KB20	MaAsLin2
Flavobacterium kingsejongi	0.0104124833611967	0.0930628655925278	Species	Moss	KB20	MaAsLin2
Mycobacterium kubicae	-0.00350243248402075	0.0930628655925278	Species	Moss	KB20	MaAsLin2
Nostoc piscinale	0.00151173740786865	0.0930628655925278	Species	Moss	KB20	MaAsLin2
Granulicella mallensis	-0.0181524864774086	0.0940812300739843	Species	Moss	KB20	MaAsLin2
Sphingomonas sanxanigenens	0.00873647639245312	0.0940812300739843	Species	Moss	KB20	MaAsLin2
Amycolatopsis albispora	-0.00801917038998416	0.0962411953312495	Species	Moss	KB20	MaAsLin2
Rhodanobacter sp. Fdaargos.1247	0.00639315980950963	0.0962411953312495	Species	Moss	KB20	MaAsLin2
Methylovirgula sp. Hy1	-0.00108854675276586	0.0975386654079057	Species	Moss	KB20	MaAsLin2
Hyphomicrobium denitrificans	-9.0402365023968e-4	0.101601103596	Species	Moss	KB20	MaAsLin2
Mucilaginibacter ginsenosidivorax	-0.00271543981500894	0.101686082397071	Species	Moss	KB20	MaAsLin2
Tardibacter chloracetimidivorans	0.0072831613977348	0.10211769295776	Species	Moss	KB20	MaAsLin2
Sphingomonas sp. S2.65	0.00184953643930413	0.102263804099996	Species	Moss	KB20	MaAsLin2
Sphingomonas sp. S9.5	0.00202831047792875	0.102263804099996	Species	Moss	KB20	MaAsLin2
Tolypothrix sp. Pcc.7910	-0.00427822623247009	0.104257185220662	Species	Moss	KB20	MaAsLin2
Burkholderia sp. Pamc.28687	-0.0351230023944463	0.10463727265072	Species	Moss	KB20	MaAsLin2
Mesorhizobium sp. M8a.f.ca.et.057.01.1.1	-0.00142296756067994	0.10463727265072	Species	Moss	KB20	MaAsLin2
Calothrix sp. Pcc.7507	-0.00568496109870157	0.105260581101569	Species	Moss	KB20	MaAsLin2
Erwinia rhapontici	-0.00313989057034583	0.107429450720488	Species	Moss	KB20	MaAsLin2
Legionella pneumophila	-0.00367168085969576	0.107429450720488	Species	Moss	KB20	MaAsLin2
Azospirillum brasilense	-0.00202847381730341	0.111619941865297	Species	Moss	KB20	MaAsLin2
Mycobacterium shigaense	-8.2852859084704e-4	0.1138009629118	Species	Moss	KB20	MaAsLin2
Methylobacterium radiotolerans	0.0110383813750165	0.114991325887569	Species	Moss	KB20	MaAsLin2
Nostoc carneum	-0.00837729418481538	0.115759830583712	Species	Moss	KB20	MaAsLin2
Nostoc sp. Nies.3756	-0.00329492548493824	0.115759830583712	Species	Moss	KB20	MaAsLin2
Massilia sp. Nr.4.1	-0.00131948164407525	0.117965514172751	Species	Moss	KB20	MaAsLin2
Phytohabitans suffuscus	-0.0012886813624	0.122266037774479	Species	Moss	KB20	MaAsLin2
Xanthobacter dioxanivorans	-0.00232366773772857	0.122266037774479	Species	Moss	KB20	MaAsLin2
Mesorhizobium sp. Wsm1497	-0.00321256634859491	0.124449916400938	Species	Moss	KB20	MaAsLin2
Amycolatopsis mediterranei	-0.00111755116441675	0.125567910420454	Species	Moss	KB20	MaAsLin2
Rhizobium lusitanum	0.00175580006828568	0.126122814155091	Species	Moss	KB20	MaAsLin2
Pseudonocardia abyssalis	-0.00529613359736627	0.127209146650284	Species	Moss	KB20	MaAsLin2
Nostoc sp. Nies.4103	-0.00155550599672402	0.127526197899674	Species	Moss	KB20	MaAsLin2
Actinopolymorpha singaporensis	-0.00253491984063585	0.128317128476063	Species	Moss	KB20	MaAsLin2
Nostoc sp. Pcc.7120...Fachb.418	-0.0127951209036728	0.128750177689533	Species	Moss	KB20	MaAsLin2
Sphingopyxis sp. Mg	0.00763925620181508	0.128750177689533	Species	Moss	KB20	MaAsLin2
Dyella japonica	-0.00173586269727342	0.134431343691828	Species	Moss	KB20	MaAsLin2
Alicycliphilus denitrificans	-0.00539739455468224	0.138954999858969	Species	Moss	KB20	MaAsLin2
Allobranchiibius sp. Giltou73	-0.00144504754991336	0.139892679023135	Species	Moss	KB20	MaAsLin2
Edaphobacter sp. 4g125	-0.00138927390359208	0.139892679023135	Species	Moss	KB20	MaAsLin2
Kutzneria albida	-0.00167009439737471	0.139892679023135	Species	Moss	KB20	MaAsLin2
Neorhizobium galegae	-0.00189079600555177	0.140863887172111	Species	Moss	KB20	MaAsLin2
Pseudomonas graminis	0.00475612912793016	0.142934390010618	Species	Moss	KB20	MaAsLin2
Burkholderia sp. Nk8	-0.00145508237945132	0.1441564964151	Species	Moss	KB20	MaAsLin2
Paraburkholderia terrae	-0.00386812861480458	0.1441564964151	Species	Moss	KB20	MaAsLin2
Parachlamydia acanthamoebae	-0.00104012819870192	0.14428256292941	Species	Moss	KB20	MaAsLin2
Caulobacter rhizosphaerae	-0.00129136555542611	0.147891503252035	Species	Moss	KB20	MaAsLin2
Leptolyngbya sp. 15mv	-0.00307021905494895	0.148899619800878	Species	Moss	KB20	MaAsLin2
X ochrobactrum..quorumnocens	-0.00217738937465179	0.159230367409646	Species	Moss	KB20	MaAsLin2
Methylosinus trichosporium	-8.6245914834866e-4	0.159267308448969	Species	Moss	KB20	MaAsLin2
Ralstonia insidiosa	-0.00889371227145533	0.15953749459659	Species	Moss	KB20	MaAsLin2
Leifsonia sp. Zf2019	-0.00494966365267078	0.15992732190784	Species	Moss	KB20	MaAsLin2
Methylibium sp. Pch.m	0.00189773186778596	0.163855350940042	Species	Moss	KB20	MaAsLin2
Mucilaginibacter sp. 14171r.50	-0.00268673014023835	0.163855350940042	Species	Moss	KB20	MaAsLin2
Paraburkholderia fungorum	-0.00654354531081307	0.163855350940042	Species	Moss	KB20	MaAsLin2
Burkholderia sp. Kk1	-0.0023567653434327	0.167250569794824	Species	Moss	KB20	MaAsLin2
Leptothrix cholodnii	-0.0019198450466806	0.167250569794824	Species	Moss	KB20	MaAsLin2
Roseomonas gilardii	-0.0041801258576555	0.169049930538549	Species	Moss	KB20	MaAsLin2
Anabaena sp. 90	-0.0098433204549032	0.170935176054275	Species	Moss	KB20	MaAsLin2
Paraburkholderia sp. Pgu16	-0.00150105253445861	0.176161080001397	Species	Moss	KB20	MaAsLin2
Pseudomonas sp. Dr48	-0.0110631733200352	0.18710240628162	Species	Moss	KB20	MaAsLin2
Hymenobacter baengnokdamensis	0.00212590744808779	0.191527055623913	Species	Moss	KB20	MaAsLin2
Paraburkholderia sp. Pgu19	-0.00188490322033195	0.192941827791105	Species	Moss	KB20	MaAsLin2
Mycolicibacterium baixiangningiae	-0.00130456296659094	0.19452530004183	Species	Moss	KB20	MaAsLin2
Nostoc sp. Uhcc.0702	-0.00351981542384211	0.20528131208057	Species	Moss	KB20	MaAsLin2
Sphingopyxis macrogoltabida	0.00588700063107191	0.20528131208057	Species	Moss	KB20	MaAsLin2
Bradyrhizobium sp. Ors.278	-0.0015623088291167	0.206418244272117	Species	Moss	KB20	MaAsLin2
Mycobacterium conspicuum	-9.6713891254226e-4	0.21101709428092	Species	Moss	KB20	MaAsLin2
Paraburkholderia ginsengisoli	-0.0189690019487516	0.21823700360353	Species	Moss	KB20	MaAsLin2
Rhodococcus globerulus	-0.00197930155804591	0.219798129019354	Species	Moss	KB20	MaAsLin2
Methylocystis bryophila	-0.00296895207672339	0.220372602335348	Species	Moss	KB20	MaAsLin2
Mycobacterium paragordonae	-0.00139024374801083	0.220372602335348	Species	Moss	KB20	MaAsLin2
Sphingomonas alpina	0.00204129058495005	0.22111097202086	Species	Moss	KB20	MaAsLin2
Bradyrhizobium guangxiense	-0.00138459302788132	0.221596972361479	Species	Moss	KB20	MaAsLin2
Caballeronia sp. M1242	-9.8107834826583e-4	0.223058947497793	Species	Moss	KB20	MaAsLin2
Mycobacterium grossiae	-0.00190573921009748	0.223058947497793	Species	Moss	KB20	MaAsLin2
Legionella longbeachae	-8.3045535407139e-4	0.223471900950054	Species	Moss	KB20	MaAsLin2
Caenibius sp. Wl	-0.00241123171890089	0.223929893336668	Species	Moss	KB20	MaAsLin2
Caulobacter henricii	-8.6061986971478e-4	0.224794808082187	Species	Moss	KB20	MaAsLin2
Hartmannibacter diazotrophicus	-6.8895702989947e-4	0.227649118428763	Species	Moss	KB20	MaAsLin2
Bosea sp. Anam02	-0.00114387778309744	0.229448578076356	Species	Moss	KB20	MaAsLin2
Massilia sp. Wg5	-0.00186160591124202	0.229448578076356	Species	Moss	KB20	MaAsLin2
Brevundimonas sp. Bb.a	-0.00150281912555052	0.238277973563566	Species	Moss	KB20	MaAsLin2
Caballeronia insecticola	-0.00106434412712277	0.240045244529099	Species	Moss	KB20	MaAsLin2
Nostoc sp. Tcl26.01	-0.00309207661474899	0.240150183896718	Species	Moss	KB20	MaAsLin2
Sphaerotilus natans	-0.00195443862618316	0.243118386295328	Species	Moss	KB20	MaAsLin2
Mycolicibacterium aurum	-0.00151162452088933	0.247782483288103	Species	Moss	KB20	MaAsLin2
Acidiphilium multivorum	-0.00607796220198377	0.253038640746252	Species	Moss	KB20	MaAsLin2
Frankia sp. Ari3	-0.00126424215955276	0.253164452246316	Species	Moss	KB20	MaAsLin2
Rhodococcus qingshengii	-0.00556939455480035	0.253164452246316	Species	Moss	KB20	MaAsLin2
Buchnera aphidicola	0.0159299395325244	0.258391623076602	Species	Moss	KB20	MaAsLin2
Rhizobium jaguaris	-7.9193701331527e-4	0.258391623076602	Species	Moss	KB20	MaAsLin2
Frondihabitans sp. 762g35	0.00283596042463366	0.258983298862061	Species	Moss	KB20	MaAsLin2
Sphingobium xenophagum	0.00769666633859567	0.266659051858097	Species	Moss	KB20	MaAsLin2
Caenibius tardaugens	-0.00645859159191049	0.267748758555176	Species	Moss	KB20	MaAsLin2
Pandoraea vervacti	-0.00143145887599808	0.267748758555176	Species	Moss	KB20	MaAsLin2
Burkholderia vietnamiensis	-0.00399585927185971	0.269507720789455	Species	Moss	KB20	MaAsLin2
Duganella sp. Af9r3	-0.0117801774913714	0.276196645371971	Species	Moss	KB20	MaAsLin2
Paraburkholderia megapolitana	-0.00215766964042376	0.277165869515887	Species	Moss	KB20	MaAsLin2
Roseateles depolymerans	-6.1986904596862e-4	0.277165869515887	Species	Moss	KB20	MaAsLin2
Sphingomonas panacisoli	-0.0038405507492109	0.277165869515887	Species	Moss	KB20	MaAsLin2
Sphingobium phenoxybenzoativorans	-0.00431427937552243	0.278261704949508	Species	Moss	KB20	MaAsLin2
Mesorhizobium sp. Inr15	-0.0010960904306471	0.280362929965194	Species	Moss	KB20	MaAsLin2
Aureimonas sp. Sa4125	-0.00137095072026034	0.281028768999206	Species	Moss	KB20	MaAsLin2
Dyella caseinilytica	0.0020445786340666	0.281199105796127	Species	Moss	KB20	MaAsLin2
Nostoc sp. Ms1	-0.00237291994012238	0.281827587832413	Species	Moss	KB20	MaAsLin2
Mycolicibacterium tokaiense	-7.7719733891325e-4	0.284784306983965	Species	Moss	KB20	MaAsLin2
Nostoc sp. Pcc.7107	-0.00170877521796704	0.292230532924037	Species	Moss	KB20	MaAsLin2
Chondromyces crocatus	-3.8515845984221e-4	0.29740231381491	Species	Moss	KB20	MaAsLin2
Variovorax sp. Pamc26660	-0.00373326929060969	0.297770882746281	Species	Moss	KB20	MaAsLin2
Lactococcus lactis	0.00773255221608822	0.298842116139132	Species	Moss	KB20	MaAsLin2
Agrobacterium rubi	0.00428778273438844	0.306483794219504	Species	Moss	KB20	MaAsLin2
Massilia sp. Hc52	-0.00298941491798776	0.312250544296742	Species	Moss	KB20	MaAsLin2
Xanthobacter autotrophicus	-0.00100493107051485	0.316212526866228	Species	Moss	KB20	MaAsLin2
Methylobacterium sp. 17sr1.1	9.2856487211248e-4	0.318714292679766	Species	Moss	KB20	MaAsLin2
Sphingomonas sp. Dm2.R.lb4	-0.00190488158478583	0.318714292679766	Species	Moss	KB20	MaAsLin2
Starkeya sp. Ornl1	-0.00111564911441309	0.318714292679766	Species	Moss	KB20	MaAsLin2
Sphingobium herbicidovorans	-0.00567196134486017	0.319175320696248	Species	Moss	KB20	MaAsLin2
Janthinobacterium sp. 1.2014mbl.micdiv	-0.00145586290440189	0.320011799844377	Species	Moss	KB20	MaAsLin2
Methylobacterium radiodurans	0.00238151320729344	0.320011799844377	Species	Moss	KB20	MaAsLin2
Stenotrophomonas rhizophila	-0.00118776644207265	0.321744259419774	Species	Moss	KB20	MaAsLin2
Rubrivivax gelatinosus	-0.00183263021330185	0.332037538102318	Species	Moss	KB20	MaAsLin2
Crinalium epipsammum	-4.7743200145906e-4	0.33238097387571103	Species	Moss	KB20	MaAsLin2
Rhodanobacter thiooxydans	0.0013724498007052	0.333102880560773	Species	Moss	KB20	MaAsLin2
Rickettsiella endosymbiont.of.dermanyssus.gallinae	-0.00266805576316154	0.333102880560773	Species	Moss	KB20	MaAsLin2
Aureimonas sp. Au20	0.0013277812134395	0.335939329872525	Species	Moss	KB20	MaAsLin2
Nostoc sp. Pcc.7524	-5.1494826177788e-4	0.335939329872525	Species	Moss	KB20	MaAsLin2
Mycobacterium dioxanotrophicus	-0.00188305754375105	0.33702410956507	Species	Moss	KB20	MaAsLin2
Burkholderia gladioli	-0.0016607438284827	0.340697684929	Species	Moss	KB20	MaAsLin2
Anabaenopsis circularis	-0.00492744320786758	0.347370511727458	Species	Moss	KB20	MaAsLin2
Paraburkholderia caffeinilytica	-0.00347356334550356	0.351059211604263	Species	Moss	KB20	MaAsLin2
Rickettsiella viridis	-0.00190448972431049	0.352734733871912	Species	Moss	KB20	MaAsLin2
Cutibacterium acnes	0.00630764475727752	0.358542647138652	Species	Moss	KB20	MaAsLin2
Aureimonas populi	9.2804582422702e-4	0.359029943709451	Species	Moss	KB20	MaAsLin2
Melittangium boletus	-0.00105667489554319	0.359029943709451	Species	Moss	KB20	MaAsLin2
Variovorax sp. Rknm96	-0.00199599735972052	0.359029943709451	Species	Moss	KB20	MaAsLin2
Nostoc sp. Lobaria.pulmonaria..5183..cyanobiont	-0.00868947272680277	0.366370451733201	Species	Moss	KB20	MaAsLin2
Mycobacterium sp. Elw1	-0.00241552069270356	0.371512113553596	Species	Moss	KB20	MaAsLin2
Mycobacterium sp. Js623	-0.00161518943559397	0.371512113553596	Species	Moss	KB20	MaAsLin2
Pseudomonas orientalis	0.00109234023657486	0.371512113553596	Species	Moss	KB20	MaAsLin2
Mesorhizobium terrae	-0.0028869918822991	0.371734529147352	Species	Moss	KB20	MaAsLin2
Pseudomonas sp. 15a4	0.00227043587071385	0.371734529147352	Species	Moss	KB20	MaAsLin2
Anabaena sp. Wa102	-0.0013420632617445	0.371918873545219	Species	Moss	KB20	MaAsLin2
Calothrix sp. 336.3	-5.847743318602e-4	0.372385749525737	Species	Moss	KB20	MaAsLin2
Pseudomonas sp. K.62	-0.0020167965219757	0.374271183022672	Species	Moss	KB20	MaAsLin2
Rhizobacter sp. Aja081.3	-0.00150718051516617	0.374271183022672	Species	Moss	KB20	MaAsLin2
Kaistia sp. 32k	-0.00382511717607011	0.37743850606511	Species	Moss	KB20	MaAsLin2
Nodularia sp. igena	-9.8369478839371e-4	0.38149592050123	Species	Moss	KB20	MaAsLin2
Lacibacter sp. S13.6.6	-4.7328812004665e-4	0.381657152740657	Species	Moss	KB20	MaAsLin2
Rahnella sp. Ermr1.05	-0.00108703743067025	0.384505360960482	Species	Moss	KB20	MaAsLin2
Cedecea neteri	-0.0126687058823421	0.387852324657977	Species	Moss	KB20	MaAsLin2
Rhizorhabdus dicambivorans	0.00562287450811356	0.389831817344557	Species	Moss	KB20	MaAsLin2
Komagataeibacter saccharivorans	-0.00168496222980066	0.396763858955324	Species	Moss	KB20	MaAsLin2
Burkholderia pseudomallei	-0.00424857908666278	0.40124338947641	Species	Moss	KB20	MaAsLin2
Methylobacterium sp. C1	0.0053102441655085	0.404392406705715	Species	Moss	KB20	MaAsLin2
Bordetella petrii	-0.00492844385216687	0.406494639555701	Species	Moss	KB20	MaAsLin2
Sphingobium sp. Kctc.72723	-0.00126987985541874	0.407824026719002	Species	Moss	KB20	MaAsLin2
Mycolicibacterium chubuense	-0.00246793177661366	0.416755251560487	Species	Moss	KB20	MaAsLin2
Sphingomonas sp. Lk11	0.00145877730357821	0.419553144830327	Species	Moss	KB20	MaAsLin2
Gluconobacter thailandicus	0.00134821091694564	0.424112314295682	Species	Moss	KB20	MaAsLin2
Roseomonas haemaphysalidis	-0.00145810692449841	0.427414019115131	Species	Moss	KB20	MaAsLin2
Amycolatopsis sp. Dsm.110486	-0.00126461199768635	0.431923460663624	Species	Moss	KB20	MaAsLin2
Mycobacterium malmoense	-7.1620374982612e-4	0.437905444483662	Species	Moss	KB20	MaAsLin2
Sphingomonas sp. Lmo.1	0.00203743178702871	0.437905444483662	Species	Moss	KB20	MaAsLin2
Aureimonas mangrovi	-4.9837943605278e-4	0.442549003482023	Species	Moss	KB20	MaAsLin2
Cupriavidus basilensis	-0.00465655771322342	0.442549003482023	Species	Moss	KB20	MaAsLin2
Sphingobium cloacae	0.00564169208464111	0.442549003482023	Species	Moss	KB20	MaAsLin2
Pseudomonas frederiksbergensis	-0.00102274818471051	0.442599739048272	Species	Moss	KB20	MaAsLin2
Variovorax boronicumulans	-0.00257503049518361	0.442599739048272	Species	Moss	KB20	MaAsLin2
Rhodoferax koreense	-0.00904328975145185	0.44289426802093	Species	Moss	KB20	MaAsLin2
Rahnella victoriana	-0.00238180142540471	0.443771383058249	Species	Moss	KB20	MaAsLin2
Pedobacter roseus	0.00361387926792545	0.446990400743214	Species	Moss	KB20	MaAsLin2
Oscillatoria nigro.viridis	-4.0409805662622e-4	0.447719801851481	Species	Moss	KB20	MaAsLin2
Lichenihabitans psoromatis	-0.00233441840694595	0.448396791574932	Species	Moss	KB20	MaAsLin2
Agrobacterium tumefaciens	0.00275147716106599	0.452413596357988	Species	Moss	KB20	MaAsLin2
Cystobacter fuscus	-0.00102742301790928	0.452413596357988	Species	Moss	KB20	MaAsLin2
Calothrix brevissima	-0.00236191565919351	0.461305981148023	Species	Moss	KB20	MaAsLin2
Streptomyces griseoviridis	-0.00533495224155971	0.462395151389855	Species	Moss	KB20	MaAsLin2
Brevundimonas sp. M20	-8.1178693819401e-4	0.462562845970893	Species	Moss	KB20	MaAsLin2
Duganella sp. Gn2.R2	-0.00186110546432732	0.462562845970893	Species	Moss	KB20	MaAsLin2
Spirosoma sp. Pl0136	-9.5526396032485e-4	0.462895526506629	Species	Moss	KB20	MaAsLin2
Aquabacterium olei	-6.3466973319689e-4	0.46315760223594	Species	Moss	KB20	MaAsLin2
Inhella inkyongensis	-5.7881829211524e-4	0.463283159472192	Species	Moss	KB20	MaAsLin2
Hydrogenophaga crassostreae	0.00116290397568576	0.46510768946774	Species	Moss	KB20	MaAsLin2
Neoasaia chiangmaiensis	-8.7758667986551e-4	0.473642529276893	Species	Moss	KB20	MaAsLin2
Roseomonas sp. Fdaargos.362	-0.00294068454991757	0.483530613789363	Species	Moss	KB20	MaAsLin2
Pseudomonas simiae	0.00149929816013179	0.493144069125072	Species	Moss	KB20	MaAsLin2
Kutzneria sp. Ca.103260	-0.00292779679133338	0.495469082042055	Species	Moss	KB20	MaAsLin2
Koribacter versatilis	-5.0707563532763e-4	0.500420486195425	Species	Moss	KB20	MaAsLin2
Defluviicoccus vanus	-0.00235293621048751	0.502084347316621	Species	Moss	KB20	MaAsLin2
Pseudomonas eucalypticola	0.00103609695883664	0.503023693493872	Species	Moss	KB20	MaAsLin2
Mycolicibacterium sarraceniae	0.00134624580910798	0.505026281426552	Species	Moss	KB20	MaAsLin2
Curtobacterium sp. 24e2	0.0030505989523785	0.506859029947446	Species	Moss	KB20	MaAsLin2
