feature	Acidovorax	Acinetobacter	Actinomyces	Agrobacterium	Alcaligenes	Anoxybacillus	Aquabacterium	Azospirillum	Bacillus	Brevundimonas	Burkholderia	Clostridioides	Corynebacterium	Cupriavidus	Cutibacterium	Dermacoccus	Effusibacillus	Enhydrobacter	Escherichia	Haemophilus	Halomonas	Herbaspirillum	Hydrogenophilus	Klebsiella	Kocuria	Lactobacillus	Lawsonella	Limosilactobacillus	Meiothermus	Microbacterium	Micrococcus	Moraxella	Mycobacteroides	Mycolicibacterium	Neisseria	Paraburkholderia	Paracoccus	Phocaeicola	Prevotella	Propionibacterium	Pseudomonas	Rothia	Salmonella	Sphingobium	Staphylococcus	Stenotrophomonas	Streptococcus	Streptomyces	Tepidimonas	Thermoflavifilum
SRR20002455	2050	8743	0	982	438	0	24437	0	1103	0	6010	8512	0	1602	30309	970	0	0	988	0	446	4600	0	0	0	0	983	492	0	0	0	324	0	790	0	24456	0	0	0	0	300440	0	1502	401	1019	0	458	1170	0	0
SRR20002456	412	3555	0	0	0	0	10324	0	0	0	2160	3047	0	736	3459	0	0	0	0	0	0	2452	0	0	0	2674	0	0	0	0	477	0	0	545	0	8383	0	0	0	0	139561	0	0	502	0	0	0	615	0	0
SRR20002459	1207	5254	389	969	0	0	14346	0	0	422	2357	5640	0	717	6446	0	0	1003	0	0	377	2644	0	0	258	0	0	0	0	0	905	7149	0	0	0	9722	988	0	0	0	177261	0	0	0	84237	0	0	0	0	0
SRR20002464	330	943	0	143	0	904	4511	5867	0	0	661	8775	0	224	2953	0	490	0	449	0	0	609	356	0	0	0	0	0	8912	0	160	0	0	405	0	3382	0	1003	403	0	59430	0	134	200	0	0	0	246	0	535
SRR20002465	401	1079	0	152	581	0	5977	0	191	0	1111	5161	761569	393	4425	733	0	0	401	0	0	986	0	0	0	0	135	156	0	0	0	0	0	609	0	5393	970	0	17821	0	77632	0	374	0	0	0	2726	0	0	0
SRR20002466	1561	5860	0	864	1381	0	23224	1535	0	0	2206	8501	0	1066	17476	0	0	0	0	0	0	3645	0	0	0	0	0	0	288	0	923	0	511	990	456	17595	0	0	0	0	270618	0	0	838	111483	0	1467	0	0	0
SRR20002468	0	0	0	0	0	0	0	0	0	0	0	3432	393017	0	0	0	0	0	383151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2164	0	1191	0	0	0	3428	0	331	0	0	0
SRR20002473	689	2549	408	311	0	0	11506	0	237	0	2285	51525	536	809	6052	0	0	0	0	0	256	2340	0	0	0	0	503	0	0	0	302	0	0	385	0	9569	0	0	0	0	140571	0	229	0	1365680	0	18601	584	0	0
SRR20002474	614	6190	0	0	5393	0	18573	1207	428	652	9363	9238	0	1500	12203	0	0	0	0	0	422	3310	0	601	13380	0	787	0	0	319	1627	383	0	2157	0	20126	0	587	0	0	244881	0	0	0	3944	0	1217	0	0	0
SRR20002475	1924	9864	592	1435	8539	0	26012	780	0	0	4987	10091	0	1692	36013	433	0	0	0	0	550	4953	335	11398	867	0	1308	0	175	744	916	570	0	6420	0	23363	0	0	0	0	331859	0	0	0	3141	3014	49000	6009	0	0
SRR20002477	1454	5682	1119	853	0	1752	13894	913	0	0	3732	11822	2387	935	10662	723	892	427	0	343	389	2377	676	0	0	209	212	0	12775	697	1605	0	680	1794	8594	13675	0	0	0	0	186891	797	0	0	937	0	11560	1075	319	811
SRR20002478	206	686	0	115	0	294	2520	268	0	0	0	6267	0	186	1606	0	199	0	0	0	0	402	0	0	0	0	0	0	3704	0	332	0	0	0	0	1846	0	0	0	0	75405	0	0	0	0	0	0	292	0	234
SRR20002479	0	204	0	0	0	0	1117	0	0	0	186	1863	0	0	832	0	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	666	0	0	0	0	12668	0	0	0	27250	0	0	0	0	0
SRR20002481	0	0	0	0	0	0	109	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	1413	0	0	0	0	0	0	0	0	231	0	0	2167	0	0	0	0	0	0	0	0	0
SRR20002482	266	773	0	149	0	1001	4152	122	0	0	1841	7846	150	256	2729	0	436	0	0	0	0	551	415	0	0	0	0	0	10455	0	300	0	0	217	0	3088	155	0	0	0	50910	0	0	0	146	0	0	229	0	639
SRR20002486	446	1478	0	239	0	0	7048	1626	0	0	1280	1923	0	453	5650	0	0	118	0	0	135	1155	0	0	0	0	0	0	0	0	298	0	0	311	0	5335	264	0	0	0	90526	0	0	298	240	0	0	1008	0	0
SRR20002487	1312	4608	0	461	0	2983	10657	2119	0	301	2741	63477	564	603	17897	0	992	0	377	0	260	1849	991	0	0	0	0	0	22401	0	509	343	0	415	0	9317	0	0	0	0	451920	0	369	467	848	728	0	0	263	1802
