feature	Actinomycetaceae	Alcaligenaceae	Alicyclobacillaceae	Azospirillaceae	Bacillaceae	Bacteroidaceae	Burkholderiaceae	Caulobacteraceae	Chitinophagaceae	Comamonadaceae	Corynebacteriaceae	Dermacoccaceae	Enterobacteriaceae	Halomonadaceae	Hydrogenophilaceae	Lactobacillaceae	Lawsonellaceae	Microbacteriaceae	Micrococcaceae	Moraxellaceae	Mycobacteriaceae	Neisseriaceae	Oxalobacteraceae	Pasteurellaceae	Peptostreptococcaceae	Prevotellaceae	Propionibacteriaceae	Pseudomonadaceae	Rhizobiaceae	Rhodobacteraceae	Sphingomonadaceae	Staphylococcaceae	Streptococcaceae	Streptomycetaceae	Thermaceae	Xanthomonadaceae
SRR20002464	0	0	490	5867	904	1611	4826	0	535	330	0	0	583	0	356	0	0	0	160	943	405	0	609	0	8775	403	2953	59430	143	0	200	0	0	246	8912	161
SRR20002465	0	581	0	0	191	0	7742	0	0	401	761569	859	775	0	0	156	135	0	0	1079	609	0	986	0	5161	17821	4425	77632	152	970	0	0	2726	0	0	0
SRR20002466	0	1381	0	1535	0	0	23850	0	0	1561	0	0	0	0	0	0	0	0	923	5860	1501	456	3645	0	8501	0	17476	270618	864	0	838	111483	1467	0	288	0
SRR20002468	0	983	0	0	0	0	0	0	0	0	393017	0	383151	0	0	0	0	0	0	0	0	0	0	0	3432	2164	0	1191	0	0	0	3428	331	0	0	0
SRR20002473	408	0	0	0	237	0	14371	0	0	689	536	0	229	256	0	0	503	0	302	2549	385	0	2340	0	51525	0	6052	140571	311	0	0	1365680	18601	584	0	0
SRR20002474	0	5393	0	1207	428	1864	33754	652	0	1758	0	0	601	422	0	0	787	319	15007	6573	2157	0	3310	0	9238	0	12203	244881	0	0	0	3944	1217	0	0	0
SRR20002475	592	8539	0	780	0	0	33605	0	0	7326	0	433	11398	550	335	0	1308	744	1783	10434	6420	0	4953	0	10091	0	36013	331859	1435	0	0	3141	49000	6009	175	3014
SRR20002477	1119	0	892	913	1752	0	20311	0	811	1454	2387	723	0	389	676	209	212	697	2402	5682	3343	8594	2377	343	11822	0	11031	186891	853	0	556	937	11560	1075	12775	252
SRR20002478	0	0	199	268	294	0	2376	0	234	206	0	0	0	0	0	0	0	828	332	686	0	0	402	0	6267	0	1606	75405	115	0	0	0	0	292	3704	0
SRR20002479	0	0	0	0	0	0	1051	0	0	0	0	0	0	0	0	0	0	0	0	204	0	0	164	0	1863	0	832	12668	0	0	0	27250	0	0	0	0
SRR20002481	0	0	0	0	0	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	2167	0	0	0	0	0	0	1413	0
SRR20002482	0	0	436	122	1001	0	5742	0	639	266	150	0	0	0	415	0	0	0	300	773	217	0	551	0	7846	0	2729	50910	149	155	0	146	0	229	10455	0
SRR20002486	0	0	0	1626	0	0	7941	0	0	446	0	0	0	135	0	0	0	0	298	1478	311	0	1155	0	1923	0	5650	90526	239	264	298	240	0	1008	0	0
SRR20002487	0	0	992	2119	2983	0	13858	301	1802	2048	564	0	746	260	991	0	0	0	509	4951	415	0	1849	0	63477	0	17897	451920	461	0	678	848	0	0	22401	728
