filepath,count
NAFLD/preproc/NS27/NS27_paired_1.fastq.gz,15887855
NAFLD/preproc/NS28/NS28_paired_1.fastq.gz,24342415
NAFLD/preproc/NS29/NS29_paired_1.fastq.gz,18657512
NAFLD/preproc/NS30/NS30_paired_1.fastq.gz,20909247
NAFLD/preproc/NS32/NS32_paired_1.fastq.gz,19163022
NAFLD/preproc/NS34/NS34_paired_1.fastq.gz,12733062
NAFLD/preproc/NS36/NS36_paired_1.fastq.gz,16378847
NAFLD/preproc/NS38/NS38_paired_1.fastq.gz,11631723
NAFLD/preproc/NS39/NS39_paired_1.fastq.gz,18491792
NAFLD/preproc/NS4/NS4_paired_1.fastq.gz,15015141
NAFLD/preproc/NS40/NS40_paired_1.fastq.gz,22927756
NAFLD/preproc/NS41/NS41_paired_1.fastq.gz,25303947
NAFLD/preproc/NS46/NS46_paired_1.fastq.gz,17201736
NAFLD/preproc/NS51/NS51_paired_1.fastq.gz,21667502
NAFLD/preproc/NS55/NS55_paired_1.fastq.gz,14444729
NAFLD/preproc/NS58/NS58_paired_1.fastq.gz,27681650
NAFLD/preproc/NS6/NS6_paired_1.fastq.gz,21143671
NAFLD/preproc/NS62/NS62_paired_1.fastq.gz,13906562
NAFLD/preproc/NS67/NS67_paired_1.fastq.gz,29029081
NAFLD/preproc/NS7/NS7_paired_1.fastq.gz,22081014
NAFLD/preproc/NS70/NS70_paired_1.fastq.gz,20920539
NAFLD/preproc/NS71/NS71_paired_1.fastq.gz,20413494
NAFLD/preproc/NS72/NS72_paired_1.fastq.gz,21750276
NAFLD/preproc/NS77/NS77_paired_1.fastq.gz,17767535
NAFLD/preproc/NS78/NS78_paired_1.fastq.gz,14573412
NAFLD/preproc/NS79/NS79_paired_1.fastq.gz,16996863
NAFLD/preproc/NS81/NS81_paired_1.fastq.gz,16345295
NAFLD/preproc/NS83/NS83_paired_1.fastq.gz,18816400
NAFLD/preproc/NS86/NS86_paired_1.fastq.gz,17846506
NAFLD/preproc/NS9/NS9_paired_1.fastq.gz,18630893
PD/preproc/SRR19064316/SRR19064316_paired_1.fastq,25769021
PD/preproc/SRR19064317/SRR19064317_paired_1.fastq,32349454
PD/preproc/SRR19064318/SRR19064318_paired_1.fastq,33644028
PD/preproc/SRR19064319/SRR19064319_paired_1.fastq,19672619
PD/preproc/SRR19064320/SRR19064320_paired_1.fastq,21854253
PD/preproc/SRR19064321/SRR19064321_paired_1.fastq,34029943
PD/preproc/SRR19064322/SRR19064322_paired_1.fastq,15117301
PD/preproc/SRR19064323/SRR19064323_paired_1.fastq,40055965
PD/preproc/SRR19064324/SRR19064324_paired_1.fastq,44876955
PD/preproc/SRR19064325/SRR19064325_paired_1.fastq,38772521
PD/preproc/SRR19064326/SRR19064326_paired_1.fastq,33619417
PD/preproc/SRR19064327/SRR19064327_paired_1.fastq,31836641
PD/preproc/SRR19064328/SRR19064328_paired_1.fastq,34852285
PD/preproc/SRR19064329/SRR19064329_paired_1.fastq,14725802
PD/preproc/SRR19064330/SRR19064330_paired_1.fastq,30180624
PD/preproc/SRR19064331/SRR19064331_paired_1.fastq,37633614
PD/preproc/SRR19064332/SRR19064332_paired_1.fastq,25877102
PD/preproc/SRR19064333/SRR19064333_paired_1.fastq,21531472
PD/preproc/SRR19064334/SRR19064334_paired_1.fastq,33909049
PD/preproc/SRR19064335/SRR19064335_paired_1.fastq,32493369
PD/preproc/SRR19064336/SRR19064336_paired_1.fastq,27875158
PD/preproc/SRR19064337/SRR19064337_paired_1.fastq,11425051
PD/preproc/SRR19064338/SRR19064338_paired_1.fastq,15414262
PD/preproc/SRR19064339/SRR19064339_paired_1.fastq,23052344
PD/preproc/SRR19064340/SRR19064340_paired_1.fastq,34094774
PD/preproc/SRR19064341/SRR19064341_paired_1.fastq,24502064
PD/preproc/SRR19064342/SRR19064342_paired_1.fastq,24495901
PD/preproc/SRR19064343/SRR19064343_paired_1.fastq,34303509
PD/preproc/SRR19064344/SRR19064344_paired_1.fastq,16859458
PD/preproc/SRR19064345/SRR19064345_paired_1.fastq,18883328
PD/preproc/SRR19064346/SRR19064346_paired_1.fastq,35080150
PD/preproc/SRR19064347/SRR19064347_paired_1.fastq,26212816
PD/preproc/SRR19064348/SRR19064348_paired_1.fastq,15085179
PD/preproc/SRR19064349/SRR19064349_paired_1.fastq,14871157
PD/preproc/SRR19064350/SRR19064350_paired_1.fastq,13882286
PD/preproc/SRR19064351/SRR19064351_paired_1.fastq,15298689
PD/preproc/SRR19064352/SRR19064352_paired_1.fastq,13078249
PD/preproc/SRR19064353/SRR19064353_paired_1.fastq,14563607
PD/preproc/SRR19064354/SRR19064354_paired_1.fastq,14831642
PD/preproc/SRR19064355/SRR19064355_paired_1.fastq,20933977
PD/preproc/SRR19064356/SRR19064356_paired_1.fastq,20958753
PD/preproc/SRR19064357/SRR19064357_paired_1.fastq,21681975
PD/preproc/SRR19064358/SRR19064358_paired_1.fastq,21712523
PD/preproc/SRR19064359/SRR19064359_paired_1.fastq,15454336
PD/preproc/SRR19064360/SRR19064360_paired_1.fastq,13243200
PD/preproc/SRR19064361/SRR19064361_paired_1.fastq,15628264
PD/preproc/SRR19064362/SRR19064362_paired_1.fastq,18451255
PD/preproc/SRR19064363/SRR19064363_paired_1.fastq,15987145
PD/preproc/SRR19064364/SRR19064364_paired_1.fastq,16851640
PD/preproc/SRR19064365/SRR19064365_paired_1.fastq,18450648
PD/preproc/SRR19064366/SRR19064366_paired_1.fastq,18617345
PD/preproc/SRR19064367/SRR19064367_paired_1.fastq,14717264
PD/preproc/SRR19064368/SRR19064368_paired_1.fastq,15201002
PD/preproc/SRR19064369/SRR19064369_paired_1.fastq,20468478
PD/preproc/SRR19064370/SRR19064370_paired_1.fastq,15950619
PD/preproc/SRR19064371/SRR19064371_paired_1.fastq,14454058
PD/preproc/SRR19064372/SRR19064372_paired_1.fastq,12246063
PD/preproc/SRR19064373/SRR19064373_paired_1.fastq,14322530
PD/preproc/SRR19064374/SRR19064374_paired_1.fastq,17510464
PD/preproc/SRR19064375/SRR19064375_paired_1.fastq,15179932
PD/preproc/SRR19064376/SRR19064376_paired_1.fastq,14355092
PD/preproc/SRR19064377/SRR19064377_paired_1.fastq,14566961
PD/preproc/SRR19064378/SRR19064378_paired_1.fastq,14306392
PD/preproc/SRR19064379/SRR19064379_paired_1.fastq,21364299
PD/preproc/SRR19064380/SRR19064380_paired_1.fastq,17576672
PD/preproc/SRR19064381/SRR19064381_paired_1.fastq,13888303
PD/preproc/SRR19064382/SRR19064382_paired_1.fastq,13739546
PD/preproc/SRR19064383/SRR19064383_paired_1.fastq,13751276
PD/preproc/SRR19064384/SRR19064384_paired_1.fastq,19001264
PD/preproc/SRR19064385/SRR19064385_paired_1.fastq,15131014
PD/preproc/SRR19064386/SRR19064386_paired_1.fastq,13544541
PD/preproc/SRR19064387/SRR19064387_paired_1.fastq,13973919
PD/preproc/SRR19064388/SRR19064388_paired_1.fastq,14510280
PD/preproc/SRR19064389/SRR19064389_paired_1.fastq,14514423
PD/preproc/SRR19064390/SRR19064390_paired_1.fastq,17224179
PD/preproc/SRR19064391/SRR19064391_paired_1.fastq,18639580
PD/preproc/SRR19064392/SRR19064392_paired_1.fastq,19134012
PD/preproc/SRR19064393/SRR19064393_paired_1.fastq,18601449
PD/preproc/SRR19064394/SRR19064394_paired_1.fastq,20438409
PD/preproc/SRR19064395/SRR19064395_paired_1.fastq,18711849
PD/preproc/SRR19064396/SRR19064396_paired_1.fastq,20398611
PD/preproc/SRR19064397/SRR19064397_paired_1.fastq,18848790
PD/preproc/SRR19064398/SRR19064398_paired_1.fastq,19007402
PD/preproc/SRR19064399/SRR19064399_paired_1.fastq,21167522
PD/preproc/SRR19064400/SRR19064400_paired_1.fastq,16574262
PD/preproc/SRR19064401/SRR19064401_paired_1.fastq,19108630
PD/preproc/SRR19064402/SRR19064402_paired_1.fastq,18036911
PD/preproc/SRR19064403/SRR19064403_paired_1.fastq,16134891
PD/preproc/SRR19064404/SRR19064404_paired_1.fastq,17917904
PD/preproc/SRR19064405/SRR19064405_paired_1.fastq,18184181
PD/preproc/SRR19064406/SRR19064406_paired_1.fastq,17733883
PD/preproc/SRR19064407/SRR19064407_paired_1.fastq,16522509
PD/preproc/SRR19064408/SRR19064408_paired_1.fastq,14977013
PD/preproc/SRR19064409/SRR19064409_paired_1.fastq,14944752
PD/preproc/SRR19064410/SRR19064410_paired_1.fastq,16074857
PD/preproc/SRR19064411/SRR19064411_paired_1.fastq,14912639
PD/preproc/SRR19064412/SRR19064412_paired_1.fastq,14750363
PD/preproc/SRR19064413/SRR19064413_paired_1.fastq,17418206
PD/preproc/SRR19064414/SRR19064414_paired_1.fastq,16479637
PD/preproc/SRR19064415/SRR19064415_paired_1.fastq,15557338
PD/preproc/SRR19064416/SRR19064416_paired_1.fastq,19532753
PD/preproc/SRR19064417/SRR19064417_paired_1.fastq,15998577
PD/preproc/SRR19064418/SRR19064418_paired_1.fastq,16672491
PD/preproc/SRR19064419/SRR19064419_paired_1.fastq,17779195
