Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
NS78_paired_2	(1.0, 90.10423847914969)	(2.0, 7.968983438121989)	(3.0, 1.2595218189202393)	(4.0, 0.35000501330381906)	(5.0, 0.11639413001175937)	(6.0, 0.043670526080588835)	(7.0, 0.006114433563813447)	(8.0, 0.0010225587617437356)	(9.0, 0.0041042125301883805)	('>10', 0.014794198231311208)	('>50', 0.001278005950362539)	('>100', 0.006908196496333428)	('>500', 0.006635639939461932)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.11632934893870764)
NS79_paired_1	(1.0, 83.7633136057802)	(2.0, 7.687871617311457)	(3.0, 1.3114829593104926)	(4.0, 0.6621998753975173)	(5.0, 0.7457869969416481)	(6.0, 0.9036468640403321)	(7.0, 0.9225278621235053)	(8.0, 0.8774542862488086)	(9.0, 0.7923354009497214)	('>10', 2.100003297824343)	('>50', 0.010425419299913734)	('>100', 0.007684924199662355)	('>500', 0.0)	('>1k', 0.038500966477549234)	('>5k', 0.0)	('>10k+', 0.1767659240948326)
NS79_paired_2	(1.0, 85.89550910354654)	(2.0, 6.493301541450798)	(3.0, 1.100125231778812)	(4.0, 0.8247651333161269)	(5.0, 0.8978134804303662)	(6.0, 1.0006237656846009)	(7.0, 0.8878911222670679)	(8.0, 0.7907670235587363)	(9.0, 0.6491712080064395)	('>10', 1.2946205023731754)	('>50', 0.003627268683035065)	('>100', 0.006684433155582522)	('>500', 0.0)	('>1k', 0.024900758197592684)	('>5k', 0.0)	('>10k+', 0.13019942755111788)
NS7_paired_1	(1.0, 82.81059905519777)	(2.0, 11.594765930630858)	(3.0, 2.469456518614817)	(4.0, 0.9329222208728557)	(5.0, 0.5289810856431076)	(6.0, 0.4110151981062341)	(7.0, 0.3380584711614199)	(8.0, 0.2140469031158936)	(9.0, 0.1667441980771178)	('>10', 0.45167252042305334)	('>50', 0.0034398464311817577)	('>100', 0.0026638605187264005)	('>500', 0.0025911352011913566)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.07304305600579994)
NS7_paired_2	(1.0, 83.46515006091151)	(2.0, 11.090453269645911)	(3.0, 2.3089855510755157)	(4.0, 0.8987469161332143)	(5.0, 0.5451053078376376)	(6.0, 0.4130370004301372)	(7.0, 0.32996282061403603)	(8.0, 0.21709118582098727)	(9.0, 0.19012984198233593)	('>10', 0.4618200695241115)	('>50', 0.0011984016310399325)	('>100', 0.0013057650399714601)	('>500', 0.0026173073678644847)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.07439650198572993)
NS81_paired_1	(1.0, 79.33433584057858)	(2.0, 13.50282273979344)	(3.0, 3.35142006577969)	(4.0, 1.4828948249599705)	(5.0, 0.8730614162341314)	(6.0, 0.5351704459104524)	(7.0, 0.31822061918685496)	(8.0, 0.17642271220237915)	(9.0, 0.08285456764403534)	('>10', 0.24906365966178165)	('>50', 0.032225182086053204)	('>100', 0.004160366641346902)	('>500', 0.0)	('>1k', 0.014379704774347397)	('>5k', 0.042967854546912154)	('>10k+', 0.0)
NS81_paired_2	(1.0, 79.12995985278296)	(2.0, 13.661205684979874)	(3.0, 3.39038696024397)	(4.0, 1.438483921855145)	(5.0, 0.8598743040755946)	(6.0, 0.5675716269515473)	(7.0, 0.3192185860408146)	(8.0, 0.17029405899272704)	(9.0, 0.0951237826148059)	('>10', 0.25830557035243734)	('>50', 0.04786270219421975)	('>100', 0.0013616243102520858)	('>500', 0.0)	('>1k', 0.0145511098851639)	('>5k', 0.04580021472051589)	('>10k+', 0.0)
NS83_paired_1	(1.0, 90.26704272411162)	(2.0, 7.81288976474348)	(3.0, 1.201783201235434)	(4.0, 0.3153503675710984)	(5.0, 0.126273449058328)	(6.0, 0.06786233992231183)	(7.0, 0.044684579251341346)	(8.0, 0.03360229009535946)	(9.0, 0.0245027647655237)	('>10', 0.08595104283225688)	('>50', 0.0036651961185989613)	('>100', 0.004472042950739568)	('>500', 0.0)	('>1k', 0.011920237343931953)	('>5k', 0.0)	('>10k+', 0.0)
NS83_paired_2	(1.0, 92.23625384212048)	(2.0, 6.320429444301167)	(3.0, 0.8974272324732635)	(4.0, 0.2327629755356222)	(5.0, 0.10608264170861723)	(6.0, 0.060779672465066374)	(7.0, 0.03656458553705423)	(8.0, 0.01731239276061674)	(9.0, 0.020421477607147315)	('>10', 0.05668847925426237)	('>50', 0.002423066731483915)	('>100', 0.004333549626913146)	('>500', 0.0)	('>1k', 0.008520639878333583)	('>5k', 0.0)	('>10k+', 0.0)
NS86_paired_1	(1.0, 75.36431883814507)	(2.0, 13.236574449785227)	(3.0, 4.6490796268269605)	(4.0, 2.271455268965471)	(5.0, 1.360469851756036)	(6.0, 0.848396349232715)	(7.0, 0.5456268751510033)	(8.0, 0.3728755949060974)	(9.0, 0.2560528893234488)	('>10', 0.5957173359558585)	('>50', 0.006028123486496536)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0325090712129822)	('>10k+', 0.4608957252525974)
NS86_paired_2	(1.0, 78.19144873414344)	(2.0, 12.494858452321976)	(3.0, 4.187659071183057)	(4.0, 1.9874602040249694)	(5.0, 1.005062369580718)	(6.0, 0.5623974602892102)	(7.0, 0.3891211828662226)	(8.0, 0.21182844360480524)	(9.0, 0.14025868859831814)	('>10', 0.32346195111072645)	('>50', 0.007134311473475198)	('>100', 0.0029965473450875315)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.034234225660690586)	('>10k+', 0.462078357797271)
NS9_paired_1	(1.0, 81.2851901097448)	(2.0, 11.062717592181707)	(3.0, 2.6567948945166697)	(4.0, 0.8818118021471099)	(5.0, 0.3828585441227894)	(6.0, 0.20421953596433964)	(7.0, 0.11715267513888199)	(8.0, 0.07008641251461137)	(9.0, 0.04948968094002923)	('>10', 0.21172891605372895)	('>50', 0.006824378646480505)	('>100', 0.006524940855907482)	('>500', 0.0)	('>1k', 0.0226645583100537)	('>5k', 0.02830449002643154)	('>10k+', 3.0136314688364374)
NS9_paired_2	(1.0, 83.01373209271071)	(2.0, 10.565626757443171)	(3.0, 2.4210103671814296)	(4.0, 0.850583825969228)	(5.0, 0.3755458297198998)	(6.0, 0.19521695353233204)	(7.0, 0.10532417436799377)	(8.0, 0.07671543498411089)	(9.0, 0.038960578579698334)	('>10', 0.17427080390781402)	('>50', 0.0023510401056349777)	('>100', 0.013296273635190717)	('>500', 0.011398818369008976)	('>1k', 0.007075974892187299)	('>5k', 0.0)	('>10k+', 2.1488910746015892)
