feature	Acidovorax	Acinetobacter	Actinomyces	Agrobacterium	Alcaligenes	Anoxybacillus	Aquabacterium	Azospirillum	Bacillus	Bifidobacterium	Brevundimonas	Burkholderia	Comamonas	Corynebacterium	Cupriavidus	Cutibacterium	Dermacoccus	Effusibacillus	Enterococcus	Escherichia	Haemophilus	Halomonas	Herbaspirillum	Hydrogenophilus	Hylemonella	Klebsiella	Kocuria	Lactobacillus	Lawsonella	Limosilactobacillus	Listeria	Meiothermus	Microbacterium	Micrococcus	Moraxella	Mycobacterium	NICIL.2	Neisseria	Paraburkholderia	Paracoccus	Phocaeicola	Prevotella	Pseudomonas	Rothia	Salmonella	Sphingobium	Staphylococcus	Stenotrophomonas	Streptococcus	Stutzerimonas	Tepidimonas	Thermoflavifilum	Thiopseudomonas
SRR20002433	2271	9781	0	1252	0	0	25397	430	1076	0	0	2016	536	646	1501	117683	0	0	681	1732	0	479	4552	0	3849	0	0	0	3003	1161	724	374	0	0	614	1334	0	0	24940	20295	0	0	191300	0	2218	876	2299	0	0	140501	0	0	0
SRR20002435	0	244	0	0	0	397	1060	218	0	0	0	0	0	528613	0	836	0	235	0	22529	0	0	113	0	170	0	0	841	0	0	0	4263	0	0	0	0	385	0	833	0	0	0	7571	0	0	0	185	0	0	5432	0	217	0
SRR20002439	0	83	0	0	0	0	586	0	0	230	0	0	0	0	0	687	0	0	0	0	0	0	0	0	0	0	437	0	0	0	0	0	0	0	0	0	0	0	285	0	0	0	2733	0	0	0	0	0	0	2443	0	0	0
SRR20002441	0	117	0	0	0	0	3155	0	0	102	0	0	0	158	0	306	0	0	0	2180652	0	0	0	0	0	0	0	525	0	0	0	1458	0	0	0	0	269	0	252	0	0	402	6192	0	0	0	5594	0	0	1753	0	0	0
SRR20002442	2659	8996	0	966	0	0	27671	565	0	0	0	461	0	631	1551	7015	0	0	0	0	0	413	4264	0	3291	0	0	0	0	0	0	0	0	0	0	488	0	0	23710	0	0	0	191742	0	0	901	0	0	0	126618	0	0	529
SRR20002443	1585	5295	0	600	1504	0	16597	0	827	245	0	6659	0	177467	1284	60789	280	0	229	628	0	329	3037	1155	2185	1674	0	0	3730	431	328	0	0	735	0	697	0	0	17099	0	0	1085	123542	0	602	953	61236	0	1194	82003	0	0	0
SRR20002446	444	3502	321	483	27967	0	9812	0	0	0	669	1293	0	17508	908	39688	0	0	2175	0	0	0	1837	0	1588	0	0	637	846	0	0	0	0	3608	0	652	0	390	8366	478	0	0	60523	0	0	320	53599	0	156824	56367	459	0	0
SRR20002448	2277	6875	0	926	1352	0	24516	0	613	0	0	655	0	1980	2168	36029	0	0	0	1204	38654	414	4971	0	3666	0	1366	0	1205	0	0	0	0	2029	0	1820	0	398	24529	0	0	0	171471	2702	322	784	8321	0	41415	119753	0	0	623
SRR20002450	0	0	0	0	1002	0	392	0	0	0	0	0	0	0	0	3081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	3233	0	0	0	387443	0	0	2326	0	0	0
SRR20002455	2403	8743	0	982	438	0	25679	0	1103	0	0	6184	0	0	1932	31470	970	0	404	986	0	446	4600	0	3138	0	0	0	983	492	0	0	0	444	1440	790	0	0	24456	0	0	0	172742	0	1253	1336	1162	0	471	126488	0	0	0
