feature	Actinomycetaceae	Anoxybacillaceae	Azospirillaceae	Bacillaceae	Bacteroidaceae	Bifidobacteriaceae	Burkholderiaceae	Caulobacteraceae	Chitinophagaceae	Dermatophilaceae	Effusibacillaceae	Enterobacteriaceae	Halomonadaceae	Lactobacillaceae	Listeriaceae	Microbacteriaceae	Micrococcaceae	Moraxellaceae	Mycobacteriaceae	NICIL.2	Neisseriaceae	Pasteurellaceae	Propionibacteriaceae	Pseudomonadaceae	Rhizobiaceae	Rhodobacteraceae	Rhodocyclaceae	Sphingomonadaceae	Staphylococcaceae	Streptococcaceae	Thermaceae	Xanthomonadaceae
SRR20002382	0.0391019585779784	0.16544758515251	0.0462970233684569	0	0	0	0.36038043326387	0.0339506270716936	0.131939647596065	0	0.0944666148706695	0	0	0	0	0	0.0938186403371155	0.132838753457042	0.074762899340559	0.177306297477475	0	0.0315798934575093	0.231702242502841	0.821424125973466	0	0	0.0745182547409722	0.0635750654200908	0.0492465558529198	0.0394112292923372	0.399397969400991	0
SRR20002384	0	0.0689837099169155	0.046709172017548	0.0352810064519906	0	0	0.212641846920731	0	0.06511285469123	0	0.0477597375098799	0	0	0	0	0	0	0.0474121278944522	0.92425658672849	0.110328247954944	0	0	0.142274868704043	0.489795998933413	0.0302354795591873	0	0	0	0.0446575909619453	0	0.211128919243576	0.0327711504492074
SRR20002386	0	0	0	0	0	0	0.380777035058815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.315612208771793	1.06532962107915	0	0	0	0	0	0	0	0
SRR20002388	0	0.0748030258266389	0.159289859529448	0	0.0411761337817895	0	0.376702421901378	0	0.0516674713819794	0	0.0704455340124693	0	0.0380059649801595	0	0	0	0.0804541575014932	0.12479779821575	0.0515937530295806	0.0404303926594094	0	0	0.20249801910695	0.958519955570899	0.0436863153349303	0	0	0.0858700942285005	0	0.149281415957742	0.237639624169173	0
SRR20002391	0	0	0.113905206020651	0	0.0252960715519621	0	0.387563811485976	0	0	0	0	0.0391034812348367	0.0333664474900222	0	0	0	0.0549818006968072	0.12623856589423	0.105918445802654	0	0	0	0.41857060092723	0.92441354443299	0.0415571772100065	0.0539705724752343	0	0.0518141564317186	0.0277270852096974	0	0.0198581250872843	0
SRR20002394	0	0	0	0	0	0	0.0673422138132869	0	0	0	0	0	0	0.0498036673362908	0	0	0	0	1.3732747909208	0	0	0	0	0.137364828418992	0	0	0	0	0.110129956154641	0	0.0259482823861268	0
SRR20002396	0.033987131459474	0.0700945122848218	0.0410098340559511	0	0	0	0.317075337753317	0	0.0570453584790757	0	0.0530546735465739	0.544969945741266	0.027993452820816	0	0	0.0410454993123737	0.0754946864491666	0.116627675106378	0.0616612274454135	0.0738442968581139	0.0915955985132292	0	0.168402568447165	0.773771384063748	0.0395199177948657	0	0.0384693396360983	0.0446979210576078	0.0598280288082176	0.125197020031143	0.198395249202051	0.0378559477739636
SRR20002397	0.0777466342399536	0	0	0	0	0	0.443628813241691	0	0	0.0373272592718443	0	0	0	0	0	0	0.208633044959985	0.122545710982627	0.0869898005284517	0	0	0	0.180292439814464	0.986323919108449	0.0644737021633693	0	0	0.0576188950703343	0.0836365366800582	0	0.0281554162557485	0
SRR20002401	0	0	0	0.0244244050355332	0.0631670382991161	0	0.269764618813495	0	0	0.0493755964397586	0	0.101678302069254	0	0	0	0	0.0329601518764933	0.0960185685663611	0.069432641922504	0	0.17890984003727	0	0.232451716689625	0.606731674624215	0.0463332536855239	0.0222239090657749	0	0.081740127789373	0.196944433125928	0.722614258815814	0.015983841204935	0.0385686959880882
SRR20002402	0	0	0	0	0	0	0.464445807977713	0	0	0	0	0	0	0	0	0	0	0.0707110738125157	0.0910764308161741	0	0	0	0.207788030506284	1.03976893854149	0	0	0	0	0	0	0	0
SRR20002403	0	0	0	0	0	0	0.429813362416383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13546035759205	1.11738121398248	0	0	0	0	0	0	0	0
SRR20002406	0.0474326483125392	0.0727374577621291	0.0957255099985744	0	0	0	0.233682270730647	0	0.0608404019488319	0	0.0517569626846988	0.0594125561765643	0	0	0	0	0.0583188454301249	0.0551027783902102	0.0751114549748778	0.0883155517577988	0	0	0.380505663407275	1.00302607000774	0	0	0.0486967452663497	0	0.0375054317543281	0	0.21587854385712	0.0395452650918966
SRR20002410	0	0	0	0	0.0352860566181693	0	0.299880703570314	0.0573836562681831	0	0.110084757997576	0	0	0	0	0	0	0.0538092684565354	0.09464495408938	0.744764116757378	0	0	0	0.122993692576409	0.690664173585169	0.0387086319596871	0	0	0.0375416134738778	0.0332900947898417	0	0	0
SRR20002412	0.11723100108786	0	0	0	0.100514238962744	0.243517787689191	0.254111727250971	0	0	0.0286671461636135	0	0.0564041028744774	0.0280492044128904	0.0483981043436517	0.0209645950802161	0	0.106147689592374	0.065125036419002	0.247904239055021	0	0.0824900121089608	0.0242084204626108	0.186783071840389	0.553252168786792	0.0318774827222946	0	0.0278210992202133	0.0316769261223887	0.643642278903655	0.30512851491513	0	0.0232690565291492
SRR20002416	0	0	0	0	0	0	0.406928521744826	0	0	0	0	0	0	0	0	0	0	0.270701927085222	0	0	0	0	0.200193823771696	1.0063594816859	0	0	0	0	0	0	0	0.136284564142077
SRR20002417	0	0	0	0	0	0	0.403596349071938	0	0	0	0	0	0	0	0	0	0	0.121243832591289	0	0	0	0	0.205829722632527	1.09398388720995	0	0	0	0	0	0	0	0
